length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,10,19,1,2,9,1,1,91,10,1,51,10
6997,10,8,11,21,,,,,,,,,,,,
7137,14,5,91,21,,,,,,,,,,,,
7190,10,6,61,51,,,,,,,,,,,,
7192,18,2,71,1,,,,,,,,,,,,
7204,11,4,81,21,,,,,,,,,,,,
7211,12,3,11,1,,,,,,,,,,,,
7233,16,7,61,31,,,,,,,,,,,,
7332,11,5,71,51,,,,,,,,,,,,
7339,10,9,91,41,,,,,,,,,,,,
7404,13,9,51,1,,,,,,,,,,,,
7453,15,7,1,31,,,,,,,,,,,,
7503,16,6,71,31,,,,,,,,,,,,
7574,11,5,81,41,,,,,,,,,,,,
7574,12,4,41,1,,,,,,,,,,,,
7577,15,6,71,51,,,,,,,,,,,,
7590,11,4,31,1,,,,,,,,,,,,
7624,13,4,71,21,,,,,,,,,,,,
7626,14,6,11,31,,,,,,,,,,,,
7627,13,2,1,11,,,,,,,,,,,,
7641,16,9,41,1,,,,,,,,,,,,
7650,11,3,61,21,,,,,,,,,,,,
7651,13,7,91,41,,,,,,,,,,,,
7660,11,5,91,1,,,,,,,,,,,,
7666,10,6,21,51,,,,,,,,,,,,
7680,14,6,81,1,,,,,,,,,,,,
7685,17,5,1,41,,,,,,,,,,,,
7692,18,2,91,31,,,,,,,,,,,,
7693,15,5,11,1,,,,,,,,,,,,
7712,17,2,31,51,,,,,,,,,,,,
7716,16,4,11,11,,,,,,,,,,,,
7717,15,3,31,1,,,,,,,,,,,,
7725,10,5,51,31,,,,,,,,,,,,
7726,15,5,11,11,,,,,,,,,,,,
7729,12,4,41,41,,,,,,,,,,,,
7738,11,3,81,31,,,,,,,,,,,,
7738,13,2,41,31,,,,,,,,,,,,
7739,15,8,1,31,,,,,,,,,,,,
7740,15,4,41,11,,,,,,,,,,,,
7747,15,9,51,41,,,,,,,,,,,,
7748,12,6,21,51,,,,,,,,,,,,
7748,16,8,41,51,,,,,,,,,,,,
7755,16,2,11,31,,,,,,,,,,,,
7759,17,3,51,41,,,,,,,,,,,,
7765,11,7,21,1,,,,,,,,,,,,
7768,10,2,21,1,,,,,,,,,,,,
7770,14,7,11,21,,,,,,,,,,,,
7772,11,3,71,11,,,,,,,,,,,,
7773,14,6,91,21,,,,,,,,,,,,
7773,16,9,81,41,,,,,,,,,,,,
7778,14,9,51,11,,,,,,,,,,,,
7794,13,6,51,11,,,,,,,,,,,,
7794,14,5,81,51,,,,,,,,,,,,
7796,13,3,1,11,,,,,,,,,,,,
7800,10,8,11,31,,,,,,,,,,,,
7801,15,4,31,21,,,,,,,,,,,,
7802,12,5,91,31,,,,,,,,,,,,
7807,11,6,31,51,,,,,,,,,,,,
7816,15,8,21,31,,,,,,,,,,,,
7824,10,9,51,41,,,,,,,,,,,,
7824,14,4,1,31,,,,,,,,,,,,
7824,17,6,81,31,,,,,,,,,,,,
7826,15,9,41,11,,,,,,,,,,,,
7848,16,8,21,31,,,,,,,,,,,,
7852,12,3,11,51,,,,,,,,,,,,
7853,14,3,1,11,,,,,,,,,,,,
7853,16,5,71,11,,,,,,,,,,,,
7854,12,8,31,51,,,,,,,,,,,,
7857,15,8,81,1,,,,,,,,,,,,
7857,16,2,1,41,,,,,,,,,,,,
7861,11,8,1,41,,,,,,,,,,,,
7877,17,6,1,41,,,,,,,,,,,,
7880,16,6,61,41,,,,,,,,,,,,
7887,18,2,31,1,,,,,,,,,,,,
7895,16,4,61,41,,,,,,,,,,,,
7899,10,7,31,1,,,,,,,,,,,,
7899,18,2,91,51,,,,,,,,,,,,
7900,12,5,61,41,,,,,,,,,,,,
7902,10,2,61,41,,,,,,,,,,,,
7902,13,3,31,31,,,,,,,,,,,,
7905,14,9,61,21,,,,,,,,,,,,
7905,17,9,21,51,,,,,,,,,,,,
7908,10,3,21,31,,,,,,,,,,,,
7913,15,3,41,41,,,,,,,,,,,,
7914,12,2,1,11,,,,,,,,,,,,
7923,14,5,81,11,,,,,,,,,,,,
7923,16,7,1,51,,,,,,,,,,,,
7924,16,6,91,41,,,,,,,,,,,,
7925,11,3,61,51,,,,,,,,,,,,
7926,14,8,91,51,,,,,,,,,,,,
7933,13,9,11,1,,,,,,,,,,,,
7934,12,4,91,31,,,,,,,,,,,,
7936,10,8,41,1,,,,,,,,,,,,
7936,16,7,81,1,,,,,,,,,,,,
7936,17,8,81,31,,,,,,,,,,,,
7943,10,9,51,31,,,,,,,,,,,,
7944,11,5,31,11,,,,,,,,,,,,
7946,16,9,61,51,,,,,,,,,,,,
7955,10,7,31,41,,,,,,,,,,,,
7957,16,6,71,41,,,,,,,,,,,,
7961,12,8,1,21,,,,,,,,,,,,
7962,14,9,81,31,,,,,,,,,,,,
7969,16,4,21,31,,,,,,,,,,,,
7970,10,4,1,11,,,,,,,,,,,,
7971,17,3,91,41,,,,,,,,,,,,
7972,14,7,71,31,,,,,,,,,,,,
7977,15,7,31,11,,,,,,,,,,,,
7980,12,3,71,21,,,,,,,,,,,,
7985,14,8,81,31,,,,,,,,,,,,
7986,16,5,81,1,,,,,,,,,,,,
7988,11,4,21,1,,,,,,,,,,,,
7993,10,4,11,21,,,,,,,,,,,,
7993,12,7,81,11,,,,,,,,,,,,
7995,14,8,81,41,,,,,,,,,,,,
7996,12,2,11,31,,,,,,,,,,,,
7998,10,2,1,21,,,,,,,,,,,,
8000,11,2,51,31,,,,,,,,,,,,
8002,13,2,61,1,,,,,,,,,,,,
8002,16,6,31,31,,,,,,,,,,,,
8003,13,8,71,41,,,,,,,,,,,,
8006,10,8,31,31,,,,,,,,,,,,
8009,14,9,11,11,,,,,,,,,,,,
8013,12,4,1,11,,,,,,,,,,,,
8013,14,9,51,1,,,,,,,,,,,,
8018,18,2,1,41,,,,,,,,,,,,
8019,11,2,51,1,,,,,,,,,,,,
8022,13,8,91,51,,,,,,,,,,,,
8028,14,9,51,21,,,,,,,,,,,,
8029,15,2,71,11,,,,,,,,,,,,
8034,10,6,81,11,,,,,,,,,,,,
8034,10,9,61,31,,,,,,,,,,,,
8034,14,9,51,31,,,,,,,,,,,,
8037,17,2,21,11,,,,,,,,,,,,
8038,11,6,81,21,,,,,,,,,,,,
8038,13,4,31,51,,,,,,,,,,,,
8038,16,8,41,31,,,,,,,,,,,,
8038,17,3,61,1,,,,,,,,,,,,
8040,11,6,51,51,,,,,,,,,,,,
8040,15,7,11,11,,,,,,,,,,,,
8041,10,7,21,51,,,,,,,,,,,,
8044,16,9,21,1,,,,,,,,,,,,
8045,10,4,61,21,,,,,,,,,,,,
8045,11,9,81,1,,,,,,,,,,,,
8051,17,8,31,11,,,,,,,,,,,,
8052,12,9,11,31,,,,,,,,,,,,
8053,14,5,21,11,,,,,,,,,,,,
8055,17,5,91,1,,,,,,,,,,,,
8056,12,6,11,41,,,,,,,,,,,,
8057,14,8,51,11,,,,,,,,,,,,
8059,12,5,51,51,,,,,,,,,,,,
8060,10,2,41,41,,,,,,,,,,,,
8060,12,5,11,21,,,,,,,,,,,,
8061,14,5,31,31,,,,,,,,,,,,
8064,17,8,91,11,,,,,,,,,,,,
8068,18,2,71,31,,,,,,,,,,,,
8069,14,4,11,31,,,,,,,,,,,,
8070,11,3,11,51,,,,,,,,,,,,
8074,14,9,11,41,,,,,,,,,,,,
8075,15,8,41,21,,,,,,,,,,,,
8079,13,2,11,51,,,,,,,,,,,,
8087,16,9,41,41,,,,,,,,,,,,
8089,16,3,61,11,,,,,,,,,,,,
8091,14,7,31,21,,,,,,,,,,,,
8091,17,6,91,51,,,,,,,,,,,,
8092,15,9,61,1,,,,,,,,,,,,
8094,14,3,71,1,,,,,,,,,,,,
8094,16,2,31,51,,,,,,,,,,,,
8096,14,7,31,41,,,,,,,,,,,,
8096,16,7,91,11,,,,,,,,,,,,
8101,10,4,61,11,,,,,,,,,,,,
8102,10,7,51,21,,,,,,,,,,,,
8103,12,7,71,31,,,,,,,,,,,,
8105,16,7,31,31,,,,,,,,,,,,
8107,13,5,61,31,,,,,,,,,,,,
8107,14,7,41,31,,,,,,,,,,,,
8108,11,5,41,11,,,,,,,,,,,,
8109,16,3,51,21,,,,,,,,,,,,
8112,17,2,41,51,,,,,,,,,,,,
8114,14,8,51,41,,,,,,,,,,,,
8115,16,2,81,41,,,,,,,,,,,,
8117,11,4,41,31,,,,,,,,,,,,
8117,14,7,41,11,,,,,,,,,,,,
8119,15,9,51,11,,,,,,,,,,,,
8120,10,2,31,1,,,,,,,,,,,,
8120,14,3,21,41,,,,,,,,,,,,
8121,14,9,41,11,,,,,,,,,,,,
8123,11,8,81,21,,,,,,,,,,,,
8124,13,5,71,1,,,,,,,,,,,,
8125,11,7,51,1,,,,,,,,,,,,
8127,16,4,71,21,,,,,,,,,,,,
8128,11,4,11,1,,,,,,,,,,,,
8129,17,7,61,31,,,,,,,,,,,,
8130,11,9,91,51,,,,,,,,,,,,
8131,11,3,61,31,,,,,,,,,,,,
8132,13,8,11,21,,,,,,,,,,,,
8132,15,6,71,31,,,,,,,,,,,,
8132,17,8,61,51,,,,,,,,,,,,
8133,11,3,41,51,,,,,,,,,,,,
8136,15,9,81,31,,,,,,,,,,,,
8137,14,7,21,1,,,,,,,,,,,,
8138,13,6,91,41,,,,,,,,,,,,
8139,16,2,61,31,,,,,,,,,,,,
8140,11,9,41,11,,,,,,,,,,,,
8140,12,3,11,11,,,,,,,,,,,,
8140,12,4,11,1,,,,,,,,,,,,
8141,16,5,51,31,,,,,,,,,,,,
8142,15,9,91,11,,,,,,,,,,,,
8142,17,6,31,51,,,,,,,,,,,,
8142,17,8,81,41,,,,,,,,,,,,
8144,15,6,81,1,,,,,,,,,,,,
8149,13,6,91,11,,,,,,,,,,,,
8152,11,2,21,31,,,,,,,,,,,,
8152,14,2,31,11,,,,,,,,,,,,
8154,10,2,11,1,,,,,,,,,,,,
8154,15,9,11,51,,,,,,,,,,,,
8156,18,2,1,21,,,,,,,,,,,,
8158,15,9,81,11,,,,,,,,,,,,
