length,population_size,tournaments,elitism_rate,mutation_rate,population_size_min,population_size_max,population_size_unit,tournaments_min,tournaments_max,tournaments_unit,elitism_rate_min,elitism_rate_max,elitism_rate_unit,mutation_rate_min,mutation_rate_max,mutation_rate_unit
,,,,,50,59,1,2,9,1,1,91,10,1,51,10
6786,53,9,81,1,,,,,,,,,,,,
7191,54,9,51,11,,,,,,,,,,,,
7257,55,8,31,21,,,,,,,,,,,,
7332,56,6,1,1,,,,,,,,,,,,
7379,54,7,11,31,,,,,,,,,,,,
7381,55,9,1,51,,,,,,,,,,,,
7429,57,2,31,31,,,,,,,,,,,,
7432,53,3,21,1,,,,,,,,,,,,
7436,56,8,21,21,,,,,,,,,,,,
7459,56,7,1,11,,,,,,,,,,,,
7480,52,9,61,11,,,,,,,,,,,,
7502,55,2,1,31,,,,,,,,,,,,
7524,53,6,1,31,,,,,,,,,,,,
7529,50,9,31,51,,,,,,,,,,,,
7553,51,3,41,11,,,,,,,,,,,,
7563,51,2,91,41,,,,,,,,,,,,
7563,53,9,51,1,,,,,,,,,,,,
7564,51,3,11,21,,,,,,,,,,,,
7581,58,2,41,51,,,,,,,,,,,,
7594,55,3,51,41,,,,,,,,,,,,
7614,56,2,41,11,,,,,,,,,,,,
7642,57,8,1,11,,,,,,,,,,,,
7650,57,2,91,51,,,,,,,,,,,,
7651,55,2,71,51,,,,,,,,,,,,
7665,58,2,71,21,,,,,,,,,,,,
7671,53,2,21,11,,,,,,,,,,,,
7676,56,6,11,21,,,,,,,,,,,,
7679,52,9,21,21,,,,,,,,,,,,
7688,50,9,1,31,,,,,,,,,,,,
7694,57,5,21,31,,,,,,,,,,,,
7708,55,6,11,41,,,,,,,,,,,,
7714,54,2,71,31,,,,,,,,,,,,
7734,53,6,91,1,,,,,,,,,,,,
7748,54,7,21,41,,,,,,,,,,,,
7765,57,7,61,11,,,,,,,,,,,,
7766,57,7,21,21,,,,,,,,,,,,
7769,56,6,1,41,,,,,,,,,,,,
7771,55,2,31,21,,,,,,,,,,,,
7772,57,9,71,31,,,,,,,,,,,,
7776,56,8,61,11,,,,,,,,,,,,
7781,50,8,21,51,,,,,,,,,,,,
7783,51,7,11,41,,,,,,,,,,,,
7784,50,2,91,31,,,,,,,,,,,,
7784,55,4,1,21,,,,,,,,,,,,
7786,56,8,31,1,,,,,,,,,,,,
7786,57,2,31,21,,,,,,,,,,,,
7795,52,4,41,1,,,,,,,,,,,,
7800,58,2,61,31,,,,,,,,,,,,
7804,52,4,81,41,,,,,,,,,,,,
7812,51,8,11,11,,,,,,,,,,,,
7820,52,9,71,31,,,,,,,,,,,,
7821,53,7,31,11,,,,,,,,,,,,
7823,56,9,21,21,,,,,,,,,,,,
7829,52,5,61,51,,,,,,,,,,,,
7832,55,5,21,11,,,,,,,,,,,,
7832,55,8,61,51,,,,,,,,,,,,
7838,53,2,91,21,,,,,,,,,,,,
7844,51,8,21,1,,,,,,,,,,,,
7849,51,5,51,1,,,,,,,,,,,,
7858,53,6,11,31,,,,,,,,,,,,
7859,51,2,91,1,,,,,,,,,,,,
7863,50,6,91,1,,,,,,,,,,,,
7863,57,3,61,31,,,,,,,,,,,,
7865,51,7,51,51,,,,,,,,,,,,
7866,54,7,51,41,,,,,,,,,,,,
7867,57,5,51,31,,,,,,,,,,,,
7868,53,5,41,21,,,,,,,,,,,,
7868,54,9,91,1,,,,,,,,,,,,
7875,54,5,91,31,,,,,,,,,,,,
7879,53,6,41,11,,,,,,,,,,,,
7882,50,8,21,31,,,,,,,,,,,,
7886,53,4,91,21,,,,,,,,,,,,
7887,51,6,11,1,,,,,,,,,,,,
7888,54,5,41,1,,,,,,,,,,,,
7888,55,9,81,11,,,,,,,,,,,,
7893,50,5,21,21,,,,,,,,,,,,
7894,55,3,21,31,,,,,,,,,,,,
7904,53,8,31,11,,,,,,,,,,,,
7905,53,5,61,11,,,,,,,,,,,,
7906,50,2,11,41,,,,,,,,,,,,
7910,53,3,1,11,,,,,,,,,,,,
7915,53,7,91,31,,,,,,,,,,,,
7919,54,9,91,31,,,,,,,,,,,,
7923,53,6,91,21,,,,,,,,,,,,
7926,55,6,61,11,,,,,,,,,,,,
7928,57,2,1,31,,,,,,,,,,,,
7929,55,9,21,11,,,,,,,,,,,,
7930,56,2,71,21,,,,,,,,,,,,
7938,56,2,61,1,,,,,,,,,,,,
7943,56,4,91,51,,,,,,,,,,,,
7944,52,6,51,21,,,,,,,,,,,,
7945,51,4,51,31,,,,,,,,,,,,
7946,51,9,91,51,,,,,,,,,,,,
7952,58,2,41,31,,,,,,,,,,,,
7960,50,9,81,41,,,,,,,,,,,,
7963,50,3,21,11,,,,,,,,,,,,
7973,51,6,31,21,,,,,,,,,,,,
7973,53,2,51,41,,,,,,,,,,,,
7974,54,3,1,31,,,,,,,,,,,,
7974,55,6,11,31,,,,,,,,,,,,
7977,57,6,11,41,,,,,,,,,,,,
7979,53,6,81,51,,,,,,,,,,,,
7981,55,2,41,31,,,,,,,,,,,,
7981,57,3,71,51,,,,,,,,,,,,
7982,50,3,11,31,,,,,,,,,,,,
7982,57,3,1,51,,,,,,,,,,,,
7987,55,2,61,41,,,,,,,,,,,,
7992,52,7,21,31,,,,,,,,,,,,
7996,51,7,61,41,,,,,,,,,,,,
7996,51,7,91,41,,,,,,,,,,,,
7996,54,6,81,31,,,,,,,,,,,,
7999,50,2,11,31,,,,,,,,,,,,
8000,56,8,51,11,,,,,,,,,,,,
8004,51,6,41,31,,,,,,,,,,,,
8007,53,5,51,51,,,,,,,,,,,,
8008,51,7,91,11,,,,,,,,,,,,
8009,57,6,21,31,,,,,,,,,,,,
8018,50,6,41,11,,,,,,,,,,,,
8020,51,7,1,1,,,,,,,,,,,,
8021,53,3,51,11,,,,,,,,,,,,
8022,57,4,21,31,,,,,,,,,,,,
8024,50,4,51,51,,,,,,,,,,,,
8024,55,3,61,41,,,,,,,,,,,,
8024,57,3,41,1,,,,,,,,,,,,
8030,55,7,81,31,,,,,,,,,,,,
8030,57,2,61,1,,,,,,,,,,,,
8032,56,8,91,21,,,,,,,,,,,,
8035,57,6,91,11,,,,,,,,,,,,
8036,51,2,31,1,,,,,,,,,,,,
8036,51,3,1,31,,,,,,,,,,,,
8040,56,3,31,41,,,,,,,,,,,,
8044,52,7,91,31,,,,,,,,,,,,
8045,51,3,31,31,,,,,,,,,,,,
8048,55,7,81,11,,,,,,,,,,,,
8053,51,8,61,41,,,,,,,,,,,,
8055,52,7,11,51,,,,,,,,,,,,
8057,52,8,1,41,,,,,,,,,,,,
8058,52,4,61,41,,,,,,,,,,,,
8061,54,4,1,51,,,,,,,,,,,,
8066,51,5,11,21,,,,,,,,,,,,
8067,50,2,1,11,,,,,,,,,,,,
8067,55,9,41,1,,,,,,,,,,,,
8070,51,2,81,51,,,,,,,,,,,,
8073,53,7,1,1,,,,,,,,,,,,
8079,54,5,41,21,,,,,,,,,,,,
8080,57,5,81,51,,,,,,,,,,,,
8081,57,3,51,11,,,,,,,,,,,,
8082,50,7,21,51,,,,,,,,,,,,
