length,population_size,tournaments,elitism_rate,mutation_rate
6144,100,3,40,30
6155,100,4,90,10
6177,150,8,40,50
6229,150,2,80,40
6286,100,6,70,30
6288,100,4,20,30
6357,150,6,10,30
6387,150,9,10,10
6411,150,8,40,60
6421,150,3,90,10
6422,150,6,70,80
6424,100,6,60,90
6443,100,9,90,40
6444,100,7,10,70
6473,100,8,90,50
6499,150,3,60,20
6504,100,5,80,60
6506,150,2,40,30
6518,150,7,40,30
6523,100,7,60,40
6530,100,5,80,90
6533,150,7,30,60
6548,150,5,10,10
6549,100,6,80,10
6559,100,3,60,50
6579,150,4,50,50
6579,150,6,20,40
6603,150,5,90,30
6610,100,4,70,30
6615,150,6,30,50
6636,100,6,10,90
6652,100,4,40,20
6661,100,3,40,60
6669,150,3,30,10
6688,100,4,40,70
6688,150,5,50,10
6689,100,2,80,90
6708,100,5,20,60
6714,100,7,30,50
6714,150,7,50,60
6716,150,2,90,60
6719,150,4,90,60
6723,100,5,70,80
6724,150,6,80,60
6734,150,8,30,10
6743,150,5,40,20
6744,100,5,30,90
6749,150,7,90,80
6750,100,9,80,70
6751,150,3,30,90
6752,150,7,80,70
6761,150,9,20,40
6764,150,9,30,80
6772,150,3,50,80
6780,150,3,80,90
6782,150,7,60,70
6790,100,6,90,60
6792,150,2,50,10
6794,100,9,30,80
6795,150,2,90,10
6800,100,5,60,20
6801,100,5,70,60
6802,100,6,30,30
6815,150,7,30,10
6817,150,2,80,30
6817,150,8,70,10
6821,150,7,10,70
6826,150,3,30,40
6829,100,9,30,70
6836,100,9,90,50
6838,150,4,80,70
6839,100,9,70,80
6839,150,3,10,30
6840,100,7,90,20
6840,150,6,30,10
6840,150,8,10,80
6841,100,3,90,20
6841,150,7,10,90
6842,100,9,50,20
6849,150,7,50,40
6851,100,5,20,40
6861,100,3,90,10
6862,150,3,80,40
6869,150,4,10,30
6869,150,4,60,70
6871,100,3,30,30
6874,100,7,80,30
6874,150,5,30,30
6876,100,6,40,90
6879,100,4,60,60
6886,150,2,70,20
6888,100,6,20,70
6889,150,4,20,40
6890,150,6,50,60
6895,150,8,80,10
6897,100,8,20,40
6897,150,6,90,10
6897,150,9,30,90
6898,150,9,30,20
6902,100,8,10,70
6902,150,4,30,50
6902,150,5,60,60
6911,150,2,10,70
6914,100,7,40,10
6915,100,8,70,40
6915,150,8,20,40
6918,150,4,30,40
6919,100,2,60,30
6919,150,4,20,70
6925,150,3,90,80
6925,150,5,60,90
6926,150,9,90,80
6929,100,2,10,20
6929,100,2,20,20
6932,100,4,40,80
6935,150,5,10,60
6939,150,6,80,40
6941,150,2,20,50
6945,150,6,20,90
6948,100,7,70,10
6951,150,9,20,60
6954,100,4,30,10
6959,150,4,40,10
6960,100,5,70,20
6961,150,9,80,10
6966,100,2,40,50
6968,100,7,90,80
6969,150,9,40,90
6970,100,8,60,80
6974,100,3,40,10
6985,150,7,40,90
6985,150,9,70,10
6989,100,6,50,30
6991,100,2,80,60
6996,150,5,20,40
6996,150,7,50,90
6999,100,5,60,60
7001,100,2,90,50
7002,150,5,70,20
7003,100,6,90,70
7003,150,8,40,30
7006,150,8,60,30
7007,100,3,20,10
7007,150,3,40,60
7008,150,4,70,30
7011,150,8,70,60
7015,100,2,90,10
7015,150,3,90,60
7017,150,4,80,60
7019,100,6,80,50
7020,150,4,90,50
7020,150,5,80,40
7021,100,7,90,10
7025,150,5,90,70
7026,100,4,30,40
7026,100,7,20,20
7028,100,3,70,40
7028,150,2,50,90
7029,150,6,50,40
7029,150,7,90,50
7035,100,2,50,40
7039,150,2,20,60
7039,150,6,50,80
7041,100,4,10,90
7041,100,9,10,80
7041,150,7,90,30
7042,100,2,40,90
7043,100,4,10,60
7048,100,9,10,60
7050,100,4,40,90
7050,150,7,30,70
7052,150,2,60,80
7054,150,3,60,40
7060,100,9,40,70
7060,100,9,50,80
7060,150,5,60,40
7062,100,2,30,60
7063,100,3,60,60
7063,150,3,40,20
7063,150,7,60,80
7065,150,5,30,20
7066,150,2,80,20
7068,150,4,90,30
7069,100,9,20,10
7073,100,4,50,70
7076,150,2,40,90
7076,150,7,70,60
7078,100,6,80,80
7079,150,8,50,60
7080,100,6,90,80
7082,100,4,80,40
7083,150,5,20,30
7084,100,3,20,20
7084,100,9,90,90
7084,150,9,10,40
7084,150,9,70,90
7086,150,2,40,10
7086,150,6,50,20
7088,150,4,60,80
7089,150,5,40,90
7089,150,8,50,90
7091,150,7,40,80
7093,100,3,60,70
7095,150,8,70,20
7096,100,6,80,20
7096,100,7,80,50
7098,100,8,10,60
7098,150,5,70,90
7100,150,4,40,90
7101,100,4,90,40
7103,100,2,90,40
7103,100,8,70,80
7103,150,8,50,70
7103,150,8,90,80
7104,100,8,60,50
7104,150,7,50,30
7105,100,4,30,20
7105,150,6,90,60
7105,150,7,70,70
7107,150,5,40,70
7109,100,7,80,60
7109,150,3,80,20
7115,100,3,10,70
7115,150,2,10,40
7116,100,8,40,90
7116,150,7,30,20
7117,100,2,30,80
7118,100,5,60,40
7121,100,3,80,20
7121,100,9,50,50
7123,100,7,80,90
7123,100,9,70,40
7128,150,8,90,40
7129,150,7,40,50
7130,100,4,80,20
7130,100,6,70,20
7130,150,6,80,20
7131,150,2,90,40
7131,150,4,70,70
7133,100,8,20,90
7136,100,4,60,50
7138,150,8,10,10
7139,100,7,30,90
7139,150,5,10,20
7143,100,7,80,20
7144,150,6,90,40
7145,100,5,30,40
7146,100,6,90,20
7146,100,8,60,30
7146,150,5,30,10
7148,150,7,50,70
7150,150,8,30,20
7154,150,2,40,20
7155,150,3,90,30
7156,100,7,30,10
7156,100,8,70,70
7156,150,8,60,90
7162,100,7,50,40
7164,150,6,30,90
7166,150,7,20,70
7168,100,6,80,30
7170,150,6,40,10
7173,100,6,20,50
7174,150,3,80,50
7174,150,4,70,80
7174,150,6,10,80
7174,150,8,30,80
7179,100,4,40,30
7179,100,8,90,10
7180,100,5,90,60
7181,150,8,20,70
7182,150,2,90,80
7184,100,5,70,10
7185,150,9,50,50
7191,100,9,10,40
7194,150,7,80,40
7197,100,2,20,80
7197,100,3,50,90
7200,150,6,60,10
7201,100,2,50,60
7201,100,3,50,30
7204,150,8,20,50
7204,150,9,80,50
7208,100,8,10,10
7208,150,2,90,30
7209,150,3,10,10
7209,150,5,80,70
7210,100,7,60,90
7210,100,8,30,20
7210,150,3,60,30
7211,100,5,90,70
7211,150,9,20,20
7212,150,2,60,10
7216,150,6,70,90
7217,100,8,60,10
7221,150,3,20,50
7223,100,8,10,20
7226,150,2,80,70
7226,150,4,10,20
7227,100,2,30,50
7227,150,9,20,50
7228,100,4,20,40
7231,100,4,20,60
7231,150,9,30,50
7234,150,7,70,20
7236,150,3,70,50
7236,150,6,30,40
7237,100,7,60,10
7237,150,6,20,20
7238,150,5,50,30
7238,150,6,80,30
7239,150,2,30,40
7240,100,2,60,80
7240,100,8,50,90
7240,100,9,50,70
7241,100,8,40,50
7241,150,5,50,20
7241,150,6,60,90
7241,150,9,40,60
7244,100,3,50,20
7244,150,6,30,70
7245,100,6,40,80
7245,100,6,70,80
7245,100,9,70,60
7249,150,8,90,60
7250,100,9,10,90
7250,100,9,60,50
7252,100,7,50,30
7252,150,9,60,20
7256,150,7,40,40
7258,100,4,20,10
7260,150,2,70,70
7262,150,2,70,60
7262,150,7,40,60
7264,150,3,10,90
7265,100,9,40,20
7265,150,4,90,80
7267,150,7,70,40
7267,150,9,40,40
7268,150,4,80,90
7268,150,8,10,30
7269,100,9,20,70
7271,150,4,70,90
7272,150,2,60,90
7276,100,4,70,80
7276,100,6,60,60
7276,150,3,10,40
7276,150,5,40,40
7276,150,8,20,60
7278,150,2,50,60
7279,150,5,90,20
7280,150,2,50,30
7282,150,3,10,20
7284,100,3,80,60
7285,150,4,50,40
7288,100,9,40,30
7289,100,6,10,80
7289,150,3,50,30
7290,100,8,30,50
7290,150,3,50,70
7290,150,6,20,60
7290,150,8,70,50
7291,100,9,80,90
7291,150,4,20,20
7291,150,5,50,70
7295,100,6,60,40
7305,100,9,70,30
7306,100,4,60,30
7306,100,6,40,10
7306,100,7,60,30
7309,100,4,80,60
7309,100,5,50,40
7314,100,3,10,20
7315,100,2,70,60
7315,150,9,80,80
7319,150,7,80,60
7321,100,4,80,10
7321,100,5,30,10
7321,150,8,20,20
7322,100,6,60,20
7322,100,7,10,30
7324,100,4,60,10
7324,100,9,80,20
7324,150,4,40,40
7325,100,8,50,60
7325,150,7,20,50
7326,100,6,50,50
7326,150,8,80,40
7327,100,6,10,30
7328,100,2,40,70
7328,100,6,70,40
7331,100,7,80,40
7332,150,9,70,30
7333,150,6,80,90
7333,150,7,50,80
7334,100,6,90,90
7336,100,6,40,40
7337,150,2,10,80
7337,150,7,50,10
7338,100,2,30,10
7338,100,5,90,40
7338,150,4,40,30
7339,150,8,10,70
7340,100,5,30,60
7340,100,7,20,60
7341,100,6,60,10
7342,100,8,60,60
7343,100,2,30,30
7345,150,4,80,30
7347,100,8,50,10
7349,150,9,50,60
7351,150,4,20,60
7352,150,6,10,40
7352,150,6,70,30
7356,100,9,70,20
7356,150,4,60,20
7356,150,6,30,60
7357,150,2,20,90
7360,150,7,20,10
7363,150,4,30,10
7364,100,7,60,20
7365,150,6,90,90
7365,150,8,70,40
7366,100,5,20,50
7370,100,4,10,80
7370,100,9,20,30
7372,100,4,30,60
7373,100,2,10,90
7373,100,7,50,60
7373,100,8,90,20
7374,150,2,10,90
7378,100,4,30,70
7382,150,5,40,60
7383,100,2,10,50
7384,150,8,20,90
7386,100,3,60,10
7387,150,4,30,90
7388,100,8,50,20
7389,100,6,60,50
7390,100,9,40,90
7393,150,2,20,70
7393,150,3,70,90
7394,100,4,10,50
7394,150,5,10,40
7398,100,5,40,80
7400,100,8,50,30
7401,150,3,90,20
7401,150,5,40,50
7402,100,2,80,10
7402,150,2,40,70
7402,150,4,40,60
7402,150,6,40,20
7407,100,5,80,50
7408,150,6,30,80
7408,150,8,60,80
7409,100,4,50,20
7409,100,4,50,50
7409,150,2,10,20
7409,150,5,30,70
7411,100,3,30,10
7412,150,3,30,30
7412,150,6,70,20
7413,150,7,70,80
7415,100,5,30,70
7415,150,9,10,20
7417,100,9,30,20
7419,150,2,60,40
7419,150,6,50,50
7420,100,8,90,90
7421,100,2,40,20
7421,100,7,30,20
7421,100,9,80,10
7422,100,5,20,20
7422,100,5,80,40
7427,100,2,90,20
7429,100,3,30,60
7430,100,7,70,50
7431,150,6,10,70
7431,150,8,20,10
7433,150,5,10,80
7434,100,4,60,20
7434,100,8,90,30
7434,150,3,20,20
7435,100,2,70,80
7435,150,2,20,10
7435,150,4,20,10
7437,100,4,20,70
7437,100,5,80,80
7437,150,9,90,90
7439,100,3,20,50
7439,150,3,80,60
7441,100,4,60,40
7441,100,5,10,60
7443,100,3,70,50
7444,100,3,20,70
7444,100,3,70,90
7444,100,9,60,30
7444,150,4,50,10
7445,100,4,40,60
7445,150,3,70,80
7446,100,6,30,10
7446,100,9,80,40
7448,100,2,50,20
7450,100,6,20,40
7454,100,5,80,20
7455,100,4,30,80
7455,150,3,90,90
7456,100,5,10,70
7458,150,4,10,50
7460,150,9,20,30
7461,100,2,90,90
7465,150,4,60,10
7466,100,9,30,90
7467,150,5,20,10
7469,100,3,30,70
7470,100,6,20,60
7470,150,8,80,90
7472,100,5,50,30
7472,150,4,30,60
7473,150,7,30,30
7475,100,7,10,80
7476,100,3,10,30
7477,150,8,40,10
7478,100,4,50,90
7478,100,8,90,40
7478,150,7,70,50
7481,150,5,80,90
7484,100,7,90,90
7485,150,8,70,70
7486,150,9,50,80
7487,100,7,40,80
7487,150,9,50,10
7487,150,9,60,60
7488,100,3,80,50
7488,100,8,60,20
7489,150,7,60,10
7490,100,6,80,60
7490,100,8,40,10
7490,150,3,10,50
7491,100,3,60,90
7493,100,5,40,50
7493,150,5,80,10
7495,150,2,30,10
7496,100,8,40,40
7498,150,3,50,60
7500,100,2,70,30
7502,100,3,10,40
7502,150,2,20,20
7504,150,9,80,40
7505,100,3,30,90
7505,100,7,10,10
7507,150,5,90,10
7509,100,8,80,90
7512,150,3,20,30
7514,100,6,50,60
7518,150,3,40,70
7518,150,5,40,30
7518,150,6,60,70
7519,100,7,70,20
7520,100,8,80,40
7520,150,6,50,30
7521,100,5,50,90
7521,100,7,40,30
7523,100,6,70,10
7524,100,3,50,70
7526,100,7,30,70
7528,100,7,80,70
7530,100,6,90,10
7531,150,9,80,60
7532,100,3,20,60
7532,100,4,30,50
7532,150,8,60,20
7534,100,3,90,90
7534,100,6,30,70
7534,100,9,40,50
7535,100,8,40,70
7535,150,4,30,80
7536,100,4,20,20
7537,100,3,20,40
7538,100,5,10,20
7538,100,9,20,20
7538,150,3,30,70
7539,150,8,40,40
7540,100,2,40,60
7541,100,3,80,10
7542,150,4,20,50
7545,100,9,10,20
7545,150,8,10,60
7547,150,2,40,60
7548,100,6,70,90
7552,100,4,90,20
7553,150,2,60,30
7553,150,3,80,70
7553,150,8,80,20
7554,150,3,20,40
7555,150,7,80,80
7557,150,8,30,70
7558,100,6,40,70
7560,150,3,10,80
7561,150,3,10,70
7562,150,6,70,70
7564,100,4,40,10
7565,100,6,40,30
7566,100,9,60,90
7566,150,5,50,60
7566,150,8,30,40
7566,150,8,50,20
7570,100,2,60,60
7570,150,3,30,60
7573,100,5,50,70
7573,150,8,30,50
7573,150,9,90,40
7574,150,4,10,80
7575,150,7,50,20
7576,150,7,20,40
7577,100,6,20,10
7577,100,8,80,80
7580,150,3,60,60
7580,150,9,20,70
7581,150,9,80,20
7583,150,2,50,80
7584,100,2,20,40
7584,150,2,30,60
7585,150,8,90,50
7588,100,8,80,50
7588,150,7,70,30
7588,150,8,60,10
7589,100,7,60,60
7590,150,8,90,10
7591,100,6,60,70
7593,100,8,10,80
7593,150,9,70,20
7594,150,2,10,30
7596,100,5,40,20
7596,100,9,80,50
7597,100,5,30,20
7598,100,3,50,40
7599,100,7,80,10
7600,100,4,50,60
7600,100,8,10,50
7601,100,5,70,90
7603,150,8,60,40
7604,150,7,10,50
7605,150,4,60,50
7606,100,7,40,50
7608,150,4,50,80
7608,150,8,80,80
7610,100,7,40,90
7610,150,7,60,30
7612,100,3,20,80
7612,100,6,50,80
7612,100,8,60,90
7617,100,3,50,50
7617,100,7,40,40
7617,100,7,50,70
7619,150,8,30,30
7620,150,6,10,20
7625,100,9,20,80
7626,100,2,30,40
